Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI
2017,2017 Senior Report,Able-bodied,Alaska,41,60.4,-1.3,,
2017,2017 Senior Report,Able-bodied,Alabama,47,58.6,-1.8,,
2017,2017 Senior Report,Able-bodied,United States,,64.6,,,
2017,2017 Senior Report,Able-bodied,Arkansas,48,57.7,-2,,
2017,2017 Senior Report,Able-bodied,Arizona,24,65.1,0.2,,
2017,2017 Senior Report,Able-bodied,California,26,64.7,0,,
2017,2017 Senior Report,Able-bodied,Colorado,9,67.3,0.8,,
2017,2017 Senior Report,Able-bodied,Connecticut,1,69,1.3,,
2017,2017 Senior Report,Able-bodied,District of Columbia,,65.4,,,
2017,2017 Senior Report,Able-bodied,Delaware,2,68.5,1.2,,
2017,2017 Senior Report,Able-bodied,Florida,15,66.5,0.6,,
2017,2017 Senior Report,Able-bodied,Georgia,32,63.5,-0.3,,
2017,2017 Senior Report,Able-bodied,Hawaii,13,67,0.7,,
2017,2017 Senior Report,Able-bodied,Iowa,9,67.3,0.8,,
2017,2017 Senior Report,Able-bodied,Idaho,35,63,-0.5,,
2017,2017 Senior Report,Able-bodied,Illinois,16,66.4,0.5,,
2017,2017 Senior Report,Able-bodied,Indiana,39,62.2,-0.7,,
2017,2017 Senior Report,Able-bodied,Kansas,32,63.5,-0.3,,
2017,2017 Senior Report,Able-bodied,Kentucky,45,59.3,-1.6,,
2017,2017 Senior Report,Able-bodied,Louisiana,43,60.2,-1.3,,
2017,2017 Senior Report,Able-bodied,Massachusetts,11,67.2,0.8,,
2017,2017 Senior Report,Able-bodied,Maryland,4,68.2,1.1,,
2017,2017 Senior Report,Able-bodied,Maine,19,65.9,0.4,,
2017,2017 Senior Report,Able-bodied,Michigan,28,64.6,0,,
2017,2017 Senior Report,Able-bodied,Minnesota,5,68,1,,
2017,2017 Senior Report,Able-bodied,Missouri,36,62.9,-0.5,,
2017,2017 Senior Report,Able-bodied,Mississippi,49,57.4,-2,,
2017,2017 Senior Report,Able-bodied,Montana,20,65.6,0.3,,
2017,2017 Senior Report,Able-bodied,North Carolina,32,63.5,-0.3,,
2017,2017 Senior Report,Able-bodied,North Dakota,30,64.1,-0.2,,
2017,2017 Senior Report,Able-bodied,Nebraska,16,66.4,0.5,,
2017,2017 Senior Report,Able-bodied,New Hampshire,6,67.4,0.9,,
2017,2017 Senior Report,Able-bodied,New Jersey,6,67.4,0.9,,
2017,2017 Senior Report,Able-bodied,New Mexico,44,59.4,-1.6,,
2017,2017 Senior Report,Able-bodied,Nevada,25,64.8,0.1,,
2017,2017 Senior Report,Able-bodied,New York,14,66.6,0.6,,
2017,2017 Senior Report,Able-bodied,Ohio,23,65.4,0.2,,
2017,2017 Senior Report,Able-bodied,Oklahoma,46,58.7,-1.8,,
2017,2017 Senior Report,Able-bodied,Oregon,38,62.4,-0.7,,
2017,2017 Senior Report,Able-bodied,Pennsylvania,20,65.6,0.3,,
2017,2017 Senior Report,Able-bodied,Rhode Island,20,65.6,0.3,,
2017,2017 Senior Report,Able-bodied,South Carolina,37,62.6,-0.6,,
2017,2017 Senior Report,Able-bodied,South Dakota,6,67.4,0.9,,
2017,2017 Senior Report,Able-bodied,Tennessee,42,60.3,-1.3,,
2017,2017 Senior Report,Able-bodied,Texas,40,61.5,-0.9,,
2017,2017 Senior Report,Able-bodied,Utah,26,64.7,0,,
2017,2017 Senior Report,Able-bodied,Virginia,11,67.2,0.8,,
2017,2017 Senior Report,Able-bodied,Vermont,16,66.4,0.5,,
2017,2017 Senior Report,Able-bodied,Washington,29,64.2,-0.1,,
2017,2017 Senior Report,Able-bodied,Wisconsin,3,68.3,1.1,,
