Year,No. of National Parks,Area Under National Parks,No. of Wild Life Sanctuaries,Area Under Wild Life Sanctuaries,No. of Community Reserves,Area Under Community Reserves,No. of Conservation Reserves,Area Under Conservation Reserves,No. of Protected Areas,Total Area under Protected Areas
2000,89,37593.94,489,117881.68,-,-,-,-,578,155475.63
2006,96,38183.01,506,120244.39,-,-,4,42.87,606,158470.27
2007,98,38219.72,510,120543.95,4,20.69,7,94.82,619,158879.19
2008,99,39232.58,513,122138.33,4,20.69,45,1259.84,661,162651.45
2009,99,39232.58,513,122138.33,4,20.69,45,1259.84,661,162651.45
2010,102,40074.46,516,122585.56,4,20.69,47,1382.28,669,164062.99
2011,102,40074.46,517,122615.94,4,20.69,52,1801.29,675,164512.37
2012,102,40074.46,524,123548.33,4,20.69,56,1998.15,686,165641.62
2013,102,40074.46,526,124234.52,4,20.69,57,2017.94,689,166347.6
2014,103,40332.89,525,116254.36,4,20.69,60,2037.11,692,158645.05
2015,103,40500.13,531,117607.72,26,46.93,66,2344.53,726,160499.31
2016,103,40500.13,537,118005.3,26,46.93,67,2349.38,733,160901.74
2017,103,40500.13,543,118917.71,45,59.66,73,2547.19,764,162024.69
