,,,,,,,,,
1,position,Rank Among Large Cities,MSA,Overall Rank,Percent of Millennials that own,Percent of Millennials that rent,Years to save up,Average Millennial home value,Millennial home value portion
,,,,,,,,,
2,1,1,"Minneapolis-St. Paul-Bloomington, MN-WI",11,42.40%,57.60%,10.2,"$222,528 ",80.80%
3,2,2,"Detroit-Warren-Dearborn, MI",19,40.20%,59.80%,8.5,"$148,404 ",79.70%
4,3,3,"St. Louis, MO-IL",20,40.20%,59.80%,9.6,"$167,791 ",81.30%
5,4,4,"Louisville/Jefferson County, KY-IN",26,38.50%,61.50%,9,"$158,974 ",78.90%
6,5,5,"Pittsburgh, PA",30,37.50%,62.50%,7.9,"$152,731 ",86.10%
7,6,6,"Indianapolis-Carmel-Anderson, IN",32,37.40%,62.60%,8.9,"$161,856 ",84.90%
8,7,7,"Kansas City, MO-KS",35,37.10%,62.90%,8.5,"$170,254 ",84.30%
9,8,8,"Nashville-Davidson--Murfreesboro--Franklin, TN",36,37.00%,63.00%,11.9,"$213,090 ",82.60%
10,9,9,"Oklahoma City, OK",37,36.70%,63.30%,10.1,"$172,485 ",91.80%
11,10,10,"Baltimore-Columbia-Towson, MD",40,36.30%,63.70%,12.7,"$272,805 ",80.20%
12,11,11,"Charlotte-Concord-Gastonia, NC-SC",44,36.00%,64.00%,9.8,"$183,075 ",76.60%
13,12,12,"Cincinnati, OH-KY-IN",47,35.90%,64.10%,10,"$173,955 ",88.30%
14,13,13,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",48,35.80%,64.20%,11.6,"$236,035 ",82.70%
15,14,14,"Raleigh, NC",62,34.30%,65.70%,11.1,"$212,820 ",78.80%
16,15,15,"Denver-Aurora-Lakewood, CO",63,34.20%,65.80%,13.1,"$291,299 ",80.30%
17,16,16,"Cleveland-Elyria, OH",65,33.50%,66.50%,9.3,"$160,251 ",90.40%
18,17,17,"Riverside-San Bernardino-Ontario, CA",73,32.20%,67.80%,17.6,"$279,849 ",84.80%
19,18,18,"Richmond, VA",77,31.90%,68.10%,11.7,"$217,208 ",80.00%
20,19,19,"Chicago-Naperville-Elgin, IL-IN-WI",78,31.90%,68.10%,12.8,"$252,072 ",88.40%
21,20,20,"Washington-Arlington-Alexandria, DC-VA-MD-WV",80,31.50%,68.50%,15.5,"$370,638 ",77.80%
22,21,21,"Phoenix-Mesa-Scottsdale, AZ",90,30.20%,69.80%,11.7,"$212,245 ",78.00%
23,22,22,"Columbus, OH",92,30.00%,70.00%,8.7,"$171,660 ",84.90%
24,23,23,"Atlanta-Sandy Springs-Roswell, GA",93,29.90%,70.10%,11.2,"$200,416 ",81.60%
25,24,24,"Portland-Vancouver-Hillsboro, OR-WA",95,29.50%,70.50%,16.4,"$296,673 ",84.90%
26,25,25,"Providence-Warwick, RI-MA",96,29.30%,70.70%,12.9,"$226,281 ",76.10%
27,26,26,"San Antonio-New Braunfels, TX",98,29.20%,70.80%,11.1,"$192,208 ",97.10%
28,27,27,"Memphis, TN-MS-AR",99,29.20%,70.80%,8.6,"$142,795 ",80.40%
29,28,28,"Jacksonville, FL",100,29.10%,70.90%,9.9,"$179,765 ",75.70%
30,29,29,"Houston-The Woodlands-Sugar Land, TX",101,29.10%,70.90%,11,"$215,435 ",89.40%
31,30,30,"Seattle-Tacoma-Bellevue, WA",102,29.00%,71.00%,14.5,"$342,769 ",79.10%
32,31,31,"Virginia Beach-Norfolk-Newport News, VA-NC",103,28.90%,71.10%,11.7,"$221,002 ",81.10%
33,32,32,"Dallas-Fort Worth-Arlington, TX",106,28.70%,71.30%,10.4,"$200,805 ",85.40%
34,33,33,"Sacramento--Roseville--Arden-Arcade, CA",109,28.10%,71.90%,17.9,"$302,596 ",81.70%
35,34,34,"Milwaukee-Waukesha-West Allis, WI",110,27.90%,72.10%,10.6,"$198,433 ",84.70%
36,35,35,"Boston-Cambridge-Newton, MA-NH",114,27.60%,72.40%,18.4,"$429,713 ",89.90%
37,36,36,"Orlando-Kissimmee-Sanford, FL",116,27.10%,72.90%,10.9,"$189,280 ",82.50%
38,37,37,"Tampa-St. Petersburg-Clearwater, FL",119,26.70%,73.30%,9.9,"$179,610 ",85.90%
39,38,38,"Las Vegas-Henderson-Paradise, NV",120,26.60%,73.40%,11.8,"$214,121 ",80.50%
40,39,39,"Austin-Round Rock, TX",121,26.50%,73.50%,11.8,"$247,319 ",80.50%
41,40,40,"Miami-Fort Lauderdale-West Palm Beach, FL",122,26.30%,73.70%,16.3,"$272,390 ",81.50%
42,41,41,"San Francisco-Oakland-Hayward, CA",130,20.50%,79.50%,28.7,"$717,814 ",81.70%
43,42,42,"San Jose-Sunnyvale-Santa Clara, CA",131,20.20%,79.80%,27.9,"$737,077 ",73.00%
44,43,43,"New York-Newark-Jersey City, NY-NJ-PA",132,19.80%,80.20%,22,"$480,106 ",89.80%
45,44,44,"San Diego-Carlsbad, CA",133,19.80%,80.20%,25.3,"$452,612 ",77.10%
46,45,45,"Los Angeles-Long Beach-Anaheim, CA",135,17.80%,82.20%,32.2,"$560,164 ",82.30%
47,,,,,,,,,
48,position,Rank Among Medium Cities,MSA,Overall Rank,Percent of Millennials that own,Percent of Millennials that rent,Years to save up,Average Millennial home value,Millennial home value portion
49,46,1,"Ogden-Clearfield, UT",1,51.00%,49.00%,11.4,"$195,006 ",79.70%
50,47,2,"Grand Rapids-Wyoming, MI",5,45.30%,54.70%,8.6,"$147,584 ",81.60%
51,48,3,"Des Moines-West Des Moines, IA",8,43.60%,56.40%,7.5,"$157,388 ",80.90%
52,49,4,"McAllen-Edinburg-Mission, TX",9,43.30%,56.70%,8.1,"$97,096 ",90.80%
53,50,5,"Baton Rouge, LA",14,41.00%,59.00%,10.4,"$189,858 ",91.80%
54,51,6,"Boise City, ID",17,40.60%,59.40%,12.7,"$188,871 ",84.90%
55,52,7,"Salt Lake City, UT",21,39.40%,60.60%,12.6,"$241,090 ",84.00%
56,53,8,"Birmingham-Hoover, AL",22,39.40%,60.60%,10.3,"$173,817 ",87.00%
57,54,9,"Omaha-Council Bluffs, NE-IA",24,38.90%,61.10%,7.8,"$164,587 ",82.80%
58,55,10,"Wichita, KS",29,37.60%,62.40%,7.6,"$131,800 ",85.70%
59,56,11,"Allentown-Bethlehem-Easton, PA-NJ",33,37.30%,62.70%,10.9,"$187,032 ",83.20%
60,57,12,"Winston-Salem, NC",38,36.40%,63.60%,8.1,"$134,423 ",74.60%
61,58,13,"Rochester, NY",41,36.00%,64.00%,7.8,"$137,636 ",83.30%
62,59,14,"Columbia, SC",42,36.00%,64.00%,9.6,"$156,025 ",83.60%
63,60,15,"Charleston-North Charleston, SC",43,36.00%,64.00%,12.7,"$244,963 ",83.50%
64,61,16,"Greenville-Anderson-Mauldin, SC",45,36.00%,64.00%,9,"$155,833 ",85.40%
65,62,17,"Buffalo-Cheektowaga-Niagara Falls, NY",49,35.60%,64.40%,7.8,"$140,794 ",85.80%
66,63,18,"Hartford-West Hartford-East Hartford, CT",52,35.30%,64.70%,10.9,"$222,903 ",80.90%
